,furnished,price,n_mean_price,neighbourhood,n_numb_temp,temporal,n_unemployment_relative,d_numb_temp,district,d_mean_price,bedrooms,bathrooms,square_meters,elevator,age_building,balcony,parking,heating,metro,energy_ratings,flat,floor_number,real_estate_agency,n_metro_stations,n_pop,n_pop_rel,n_disposable_income,n_unemployment,n_primary_educ,n_green_areas,n_mean_n02pp,n_spanish,n_popdensity,n_mean_age_flats,n_contracts,n_retail_stores,n_services,d_pop,d_pop_rel,d_avgmonth_income,d_noise_complaints,d_crime_rate,d_without_studies,d_primary_studies,d_secondary_studies,d_baccalaureate,d_university,d_no_spec,d_num_trees,d_mean_n02pp,d_spanish,d_metro_stations,d_poverty_risk,d_unemployment,d_unemployment_relative
bles3,1,1300,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,85,1,50,1,0,1,0,E,1,First floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AT2109005,1,1860,"1373,333333",Pueblo Seco,"7,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,45,0,NA,1,0,1,0,E,1,Fourth floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
BLAI.1100.PIQUE,0,1100,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,65,1,NA,1,0,1,0,E,1,First floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
ALMLleida3r3a,0,900,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,50,1,88,1,0,0,0,E,1,Fifth floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
91682,1,1500,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,70,0,NA,1,0,0,1,G,1,First floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
I9922-0,1,1590,"1373,333333",Pueblo Seco,"7,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,64,0,NA,1,0,1,1,C,1,Second floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
poble sec,0,1050,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,58,1,53,1,0,1,0,,1,Fourth floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AT2202001,1,1245,"1373,333333",Pueblo Seco,"7,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,48,1,NA,1,0,1,0,E,1,Third floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AT2109006,1,1870,"1373,333333",Pueblo Seco,"7,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,63,1,NA,1,0,1,0,E,1,First floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
500/001,0,1300,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",4,2,84,1,60,1,0,1,0,E,1,Fourth floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
90810648,1,700,"1373,333333",Pueblo Seco,"7,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,55,0,NA,1,0,1,1,E,1,First floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AT2109002,1,1925,"1373,333333",Pueblo Seco,"7,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,63,1,NA,1,0,1,1,E,1,Second floor,1,3,"39,14",,"16,160","2,498","0,323","0,3121",21-25,"64,65",86,82,"0,0248",840,964,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99483068,0,1320,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,86,1,0,1,1,1,0,A,1,Fourth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100018025,0,1370,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,77,1,0,1,1,1,0,A,1,Sixth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100018091,0,1380,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,77,1,0,1,1,1,0,A,1,Fourth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040819,0,1390,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,80,1,0,1,1,1,0,A,1,Fourth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040799,0,1450,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,76,1,0,1,1,1,0,A,1,First floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040801,0,1480,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,80,1,0,1,1,1,0,A,1,Eighth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100018026,0,1560,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,122,1,0,1,1,1,0,A,1,Third floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040818,0,1590,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,107,1,0,1,1,1,0,A,1,Seventh floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
96629243,0,1620,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,96,1,0,1,1,1,0,A,1,Fourth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040778,0,1640,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,107,1,0,1,1,1,0,A,1,Sixth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100018017,0,1650,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,110,1,0,1,1,1,0,A,1,Fifth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
99040802,0,1680,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,107,1,0,1,1,1,0,A,1,Fifth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100017978,0,2045,"1551,923077",La Marina del Prat Vermell ,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",4,2,172,1,0,1,1,1,0,A,1,Eighth floor,1,5,"1,52",,"12,528","0,125","0,539","0,0449",21-25,"85,4",1,32,"0,0014",267,761,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2737,0,1150,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",4,2,91,1,45,0,0,0,1,G,1,Eighth floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AB2303034,0,1750,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,120,1,7,1,1,1,1,C,1,Fourth floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
Fon-alq,0,1200,"1171,333333",La Marina de Port,"0,00",,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,100,1,NA,1,0,1,0,,1,Sixth floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2882,1,1150,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,90,0,21,0,0,0,0,D,1,Ground floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
101016301,0,900,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,64,1,NA,0,0,0,0,,1,Seventh floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
PISO_16691,0,1180,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,60,0,NA,1,0,0,0,C,1,First floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2110/21100008/74,0,980,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,73,1,51,0,0,1,0,E,1,First floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
101116944,1,980,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,68,1,NA,1,0,1,1,E,1,Seventh floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100063074,0,800,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",0,1,50,1,NA,1,0,1,1,A,1,Seventh floor,0,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
PAL-22-47_A,0,1000,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,78,0,45,1,0,,0,,1,Seventh floor,0,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
1019FALQZF,1,1300,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,75,1,53,1,0,1,0,E,1,Fifth floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
ZFRANCA_A2304,0,1250,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,81,1,21,1,1,1,0,E,1,Second floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AB20123,1,1180,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",4,2,103,1,33,1,0,1,0,E,1,Fifth floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
G13,0,1800,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,113,1,12,1,1,1,0,C,1,First floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
000115S,1,950,"1171,333333",La Marina de Port,"0,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",1,1,60,1,13,1,0,0,0,D,1,First floor,1,3,"30,43",,"16,999","1,96","0,371","0,0328",21-25,"82,07",242,43,"0,0091",26,108,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
SL0078..,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,87,1,NA,0,0,1,0,A,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AL.MA-A-0362,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,75,1,NA,0,0,1,0,,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
North Pole Snow 1,0,1800,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,3,103,1,NA,1,0,0,0,E,1,Ground floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
Ak-bcn,0,2250,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,133,1,87,1,0,1,1,F,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2041,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,80,1,43,1,0,0,1,E,1,Fifth floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
80057GS,1,1650,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,80,1,53,0,0,1,0,E,1,Second floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
GimKristi,1,1600,1580,La Font de La Guatlla ,"1,00",1,"0,01",22,Sants-Montjuïc,"1497,669492",2,2,89,1,NA,1,0,1,1,B,1,Third floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
Piso jaume 2,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,85,0,NA,0,0,0,0,D,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
THH1051,1,1400,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,78,1,46,1,0,0,0,E,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
1154,0,1000,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,70,1,35,1,0,0,0,E,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
100028759,1,3300,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,140,1,33,1,0,1,0,E,1,,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
AL0587,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,87,1,53,0,0,1,1,,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
DALR04,1,1200,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,1,89,1,73,0,0,0,0,G,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
Michael-Mexic,0,1700,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",3,2,97,1,46,1,0,1,1,,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
FG-1041,1,1800,1580,La Font de La Guatlla ,"1,00",0,"0,01",22,Sants-Montjuïc,"1497,669492",2,1,103,1,60,1,0,1,0,,1,First floor,1,0,"10,36",,"20,302","0,632","0,253","0,0069",31-35,"77,48",339,55,"0,0057",196,284,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2884,1,1450,1582,Hostafrancs,"3,00",0,"0,00",22,Sants-Montjuïc,"1497,669492",2,1,57,1,93,1,0,1,1,C,1,Fourth floor,1,4,"15,86",,"19,678","0,79","0,272","0,0016",26-30,"73,26",386,70,"0,0097",51,114,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
2164,1,2450,1582,Hostafrancs,"3,00",0,"0,00",22,Sants-Montjuïc,"1497,669492",5,3,290,0,31,1,0,1,1,E,0,Unknown,1,4,"15,86",,"19,678","0,79","0,272","0,0016",26-30,"73,26",386,70,"0,0097",51,114,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
Carrer d'Hostafrancs de Sió,1,1800,1582,Hostafrancs,"3,00",0,"0,00",22,Sants-Montjuïc,"1497,669492",1,1,50,NA,33,0,0,1,0,E,1,Ground floor,1,4,"15,86",,"19,678","0,79","0,272","0,0016",26-30,"73,26",386,70,"0,0097",51,114,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
A-134,1,650,1582,Hostafrancs,"3,00",0,"0,00",22,Sants-Montjuïc,"1497,669492",0,1,30,0,NA,1,0,0,0,E,1,Second floor,1,4,"15,86",,"19,678","0,79","0,272","0,0016",26-30,"73,26",386,70,"0,0097",51,114,"187,425","11,26228982","1,3103","28,91","13,68974256","0,02255908","0,1953097","0,24173916","0,24283191","0,28240744","0,01515271",16571,24,"0,75598045",17,"23,63",7386,"3,940776311"
